Id,SalePrice
1461,127540.0
1462,150073.33333333334
1463,183936.66666666666
1464,188137.66666666666
1465,189028.33333333334
1466,183886.66666666666
1467,175626.16666666666
1468,176236.33333333334
1469,180453.33333333334
1470,129851.66666666667
1471,192359.3
1472,93416.66666666667
1473,97493.33333333333
1474,148663.33333333334
1475,129805.0
1476,390659.0333333333
1477,246488.13333333333
1478,318205.9666666667
1479,293732.63333333336
1480,498981.63333333336
1481,318731.9
1482,208043.83333333334
1483,180429.6
1484,174197.3
1485,180974.2
1486,202719.16666666666
1487,319942.3333333333
1488,234690.66666666666
1489,209636.93333333332
1490,225225.0
1491,191934.66666666666
1492,109580.7
1493,182023.5
1494,295192.26666666666
1495,291327.5333333333
1496,235726.66666666666
1497,176993.33333333334
1498,154661.86666666667
1499,153920.13333333333
1500,168837.66666666666
1501,196513.33333333334
1502,165232.2
1503,284436.5333333333
1504,241357.56666666668
1505,219266.73333333334
1506,174250.0
1507,239141.66666666666
1508,183442.06666666668
1509,161303.33333333334
1510,150071.66666666666
1511,150920.0
1512,160923.33333333334
1513,146523.5
1514,163286.66666666666
1515,190728.33333333334
1516,152775.0
1517,159947.5
1518,139826.83333333334
1519,221768.56666666668
1520,138661.66666666666
1521,145538.33333333334
1522,162640.0
1523,122283.63333333333
1524,120980.0
1525,132256.1
1526,128760.0
1527,118160.0
1528,127241.66666666667
1529,138266.66666666666
1530,170280.0
1531,132059.2
1532,105133.33333333333
1533,141028.33333333334
1534,113175.43333333333
1535,158226.66666666666
1536,123727.8
1537,114988.66666666667
1538,153606.7
1539,197371.66666666666
1540,117083.33333333333
1541,136871.76666666666
1542,137513.63333333333
1543,167771.8
1544,90356.2
1545,102201.0
1546,127676.66666666667
1547,126996.66666666667
1548,121320.0
1549,112830.1
1550,143932.63333333333
1551,119530.0
1552,163351.83333333334
1553,124908.63333333333
1554,113793.46666666666
1555,182936.66666666666
1556,121344.13333333333
1557,97507.76666666666
1558,96358.33333333333
1559,114827.8
1560,141226.66666666666
1561,144516.66666666666
1562,129898.33333333333
1563,128216.66666666667
1564,158397.23333333334
1565,155515.26666666666
1566,232095.0
1567,90624.2
1568,221605.93333333332
1569,139712.8
1570,146640.83333333334
1571,120235.0
1572,140865.0
1573,242507.03333333333
1574,125073.33333333333
1575,219612.9
1576,219872.66666666666
1577,204802.2
1578,140483.6
1579,148663.33333333334
1580,191696.66666666666
1581,147795.83333333334
1582,130621.66666666667
1583,314693.6
1584,239248.0
1585,140863.33333333334
1586,91013.1
1587,106756.7
1588,152200.0
1589,98821.66666666667
1590,129810.16666666667
1591,96570.8
1592,119791.1
1593,126576.66666666667
1594,122701.76666666666
1595,125730.0
1596,217777.46666666667
1597,177471.56666666668
1598,186110.26666666666
1599,169060.8
1600,169316.73333333334
1601,76073.83333333333
1602,114413.33333333333
1603,95149.53333333334
1604,276896.6666666667
1605,233801.53333333333
1606,162226.66666666666
1607,166605.33333333334
1608,225022.26666666666
1609,199843.3
1610,171619.63333333333
1611,152698.33333333334
1612,176691.7
1613,174857.36666666667
1614,119066.43333333333
1615,88755.0
1616,87775.0
1617,91780.0
1618,127465.0
1619,137914.16666666666
1620,152270.13333333333
1621,145643.66666666666
1622,153158.33333333334
1623,256257.73333333334
1624,212155.26666666666
1625,125806.66666666667
1626,167233.33333333334
1627,189090.0
1628,262350.6
1629,183556.66666666666
1630,337543.3
1631,211205.9
1632,240990.36666666667
1633,179201.0
1634,194017.83333333334
1635,181465.0
1636,170997.23333333334
1637,195406.66666666666
1638,204221.0
1639,182085.0
1640,247192.63333333333
1641,185726.66666666666
1642,236882.66666666666
1643,228810.9
1644,227588.83333333334
1645,189346.66666666666
1646,161923.33333333334
1647,161820.0
1648,143990.0
1649,135661.66666666666
1650,127023.5
1651,123215.0
1652,93956.66666666667
1653,96030.0
1654,147803.33333333334
1655,143338.33333333334
1656,146458.33333333334
1657,147206.66666666666
1658,154948.33333333334
1659,135840.0
1660,154208.33333333334
1661,430496.56666666665
1662,337216.23333333334
1663,377616.06666666665
1664,420060.3333333333
1665,291371.3333333333
1666,338088.86666666664
1667,396481.8
1668,331905.9
1669,299007.36666666664
1670,337783.86666666664
1671,274919.23333333334
1672,454306.43333333335
